[2014-04-03 08:15:58  UTC] udp server starts 
[2014-04-03 08:16:11  UTC] client /127.0.0.1 54305 length 8 message hola udp 
[2014-04-03 08:16:23  UTC] client /127.0.0.1 56873 length 8 message hola udp 
[2014-04-03 08:16:30  UTC] client /127.0.0.1 39285 length 8 message hola udp 
[2014-04-03 08:16:43  UTC] client /127.0.0.1 53380 length 8 message hola udp 
[2014-04-03 08:16:46  UTC] client /127.0.0.1 59814 length 8 message hola udp 
[2014-04-03 08:17:36  UTC] client /127.0.0.1 41736 length 8 message hola udp 
[2014-04-03 08:20:14  UTC] client /127.0.0.1 44870 length 8 message hola udp 
[2014-04-03 08:34:33  UTC] client /127.0.0.1 38934 length 8 message hola udp 
[2014-04-03 08:35:41  UTC] client /127.0.0.1 46921 length 8 message hola udp 
[2014-04-03 08:35:44  UTC] client /127.0.0.1 55865 length 8 message hola udp 
[2014-04-03 08:43:01  UTC] udp server ends 
